COMPANY NAME,BRANCH/LOCATION NAME,STATE,REGION,WAN/INTERNET CLIENT,BANDWIDTH SUBSCRIPTION (Mbps),CUSTOMER STATUS,CLIENT
FCMB,FCMB Suleja,Niger,North Central,WAN,4,Active,Corporate
FCMB,FCMB NewMarket Ijebu-ode,Ogun,South West,WAN,1,Active,Corporate
FCMB,FCMB FMC-Abeokuta,Ogun,South West,WAN,4,Active,Corporate
FCMB,FCMB Oke-ilewo,Ogun,South West,WAN,4,Active,Corporate
FCMB,FCMB Imepe Ijebu-ode,Ogun,South West,WAN,8,Active,Corporate
FCMB,FCMB Ibadan-Iwo Road,Oyo,South West,WAN,4,Active,Corporate
FCMB,FCMB Iwo,Osun,South West,WAN,2,Active,Corporate
FCMB,FCMB Beach Road Jos,Plateau,North Central,WAN,4,Active,Corporate
FCMB,FCMB MMway Jos,Plateau,North Central,WAN,8,Active,Corporate
FCMB,FCMB Obigbo,Rivers,South South,WAN,4,Active,Corporate
Fcmb Bank,Fcmb Bank Oko,Anambra,South East,WAN,4,Active,Corporate
Fcmb Bank,Fcmb Awka 2,Anambra,South East,WAN,4,Disconnected,Corporate
Fcmb Bank,FCMB bank Effurun Warri,Delta,South South,WAN,4,Active,Corporate
Fcmb Bank,Fcmb Lagos HQ,Lagos,South West,WAN,100,Active,Corporate
Glo Abuja,Glo Partnership with Swifttalk   Abuja,Abuja,North Central,WAN,5,Active,Corporate
Glo Benin,Glo Partnership with Swifttalk  Benin,Edo,South South,WAN,10,Active,Corporate
Glo Onne,Glo Partnership with Swifttalk Onne,Rivers,South South,WAN,10,Active,Corporate
Glo Uyo,Glo Partnership with Swifttalk Uyo,Akwaibom,South South,WAN,10,Active,Corporate
Glo Yaba,Glo Partnership with Swifttalk  Yaba,Lagos,South West,WAN,5,Active,Corporate
Glo Yola,Glo Partnership with Swifttalk Yola,Adamawa,North East,INTERNET,20,Active,Corporate
Global Alliance,Global Alliance PH,Rivers,South South,INTERNET,8,Active,Corporate
Global Alliance,"Global Alliance  Bauchi
",Bauchi,North East,INTERNET,10,Active,Corporate
Global Alliance,Global Alliance Abuja,Abuja,North Central,INTERNET,9,Active,Corporate
Global Alliance,Global Alliance Citec-Abuja,Abuja,North Central,INTERNET,20,Disconnected,Corporate
Global Alliance-Philippines Embassy,Global Alliance Maitama,Abuja,North Central,INTERNET,15,Disconnected,Corporate
Hermann&Cross Ltd,Hermann&Cross Ltd Warri,Delta,South South,INTERNET,4,Active,Corporate
Hoops Telecom,Hoop Telecom-Sil Unilever,Lagos,South West,INTERNET,5,Active,Corporate
Hoops Telecom,Hoops Telecom- Clinix,Lagos,South West,INTERNET,2,Active,Corporate
Hoops Telecom,Hoops Telecom- Festizar Foods,Lagos,South West,INTERNET,4,Active,Corporate
Hoops Telecom,Hoops Telecom- Festizar Foods and Confectionary,Lagos,South West,INTERNET,10,Active,Corporate
Hoops Telecom,Hoops Telecom-SIL Reliance,Lagos,South West,INTERNET,10,Active,Corporate
Hoops Telecom,Hoops Telecom - Quantum Packaging,Lagos,South West,INTERNET,50,Active,Corporate
Hoops Telecom,Sandton Hotel Agbara,Ogun,South West,INTERNET,2,Active,Corporate
Hypergrowth,Hypergrowth Alausa,Lagos,South West,INTERNET,5,Active,Corporate
INTERSKY DIGITAL LIMITED ,NIS SAUKA ,Abuja,North Central,INTERNET,20,Active,Corporate
International Billboard ,International Billboard,Lagos,South West,INTERNET,2,Active,Corporate
Invent World,Invent world Owerri,Imo,South East,INTERNET,3,Disconnected,Corporate
IOT Global,IOT Global lokoja,Kogi,North Central,INTERNET,20,Active,Corporate
IOT Global 2,IOT Global Lokoja,Kogi,North Central,INTERNET,20,Active,Corporate
JB Farms,JB Farms Ekang,Cross River,South South,INTERNET,20,Active,Corporate
JB Farms,JB Farms Odogbolu Ijebu-Ode,Ogun,South West,INTERNET,40,Active,Corporate
JB Farms,JB Farms Ore,Ondo,South West,INTERNET,20,Disconnected,Corporate
JEVI AUSTIN INTERNATIONAL,Austin Int’l Cawthorn Channel,Rivers,South South,INTERNET,20,Active,Corporate
Jomax Computers,Jomax Warri,Delta,South South,INTERNET,2,Active,Corporate
KC Gamings Network,Betnaija Onitsha,Anambra,South East,INTERNET,4,Active,Corporate
KC Gamings Network,KC Gaming Calabar,Cross River,South South,INTERNET,4,Active,Corporate
KC Gamings Network,KC Gamings Network Abakaliki,Ebonyi,South East,INTERNET,1,Active,Corporate
KC Gamings Network,KC Gamings Network Kaduna,Kaduna,North West,INTERNET,4,Active,Corporate
KC Gamings Network,KC Gaming Ibadan,Oyo,South West,INTERNET,4,Active,Corporate
K-Express,K-Express Okada,Edo,South South,INTERNET,5,Active,Corporate
Koreen Moore,Koreen Moore Enugu,Enugu,South East,INTERNET,1,Active,Corporate
Koreen Tech,Koreen tech Enugu,Enugu,South East,INTERNET,1,Active,Corporate
Koreen Tech,Koreen tech Enugu Ezike,Enugu,South East,INTERNET,3,Active,Corporate
Koreen Tech,Koreen tech Nsukka,Enugu,South East,INTERNET,1,Active,Corporate
Koreen Tech,Koreen Tech Ogbede,Enugu,South East,INTERNET,2,Active,Corporate
Koreen Tech,Koreen Tech Nibss,Enugu,South East,INTERNET,10,Active,Corporate
Lamango,Lamango,Lagos,South West,INTERNET,20,Active,Corporate
LOH Global Limited,LOH Global Limited Mowe,Lagos,South West,INTERNET,3,Active,Corporate
Matmer,Matmer Ilupeju,Lagos,South West,INTERNET,2,Active,Corporate
Mayfresh MFB,Mayfresh MFB Aba Asa Road,Abia,South East,WAN,1,Active,Corporate
Mayfresh MFB,Mayfresh MFB Umuahia,Abia,South East,WAN,1,Active,Corporate
Mayfresh MFB,Mayfresh MFB Aba,Abia,South East,INTERNET,2,Active,Corporate
Mayfresh MFB,Mayfresh MFB Area 11 Abuja,Abuja,North Central,WAN,1,Active,Corporate
Mayfresh MFB,Mayfresh Uyo,Akwaibom,South South,WAN,1,Active,Corporate
Mayfresh MFB,Mayfresh MFB Awka,Anambra,South East,WAN,1,Active,Corporate
Mayfresh MFB,Mayfresh MFB Main Market Onitsha,Anambra,South East,WAN,1,Active,Corporate
Mayfresh MFB,Mayfresh MFB Nkpor,Anambra,South East,WAN,1,Active,Corporate
MayFresh MFB,Mayfresh MFB Abakaliki,Ebonyi,South East,WAN,1,Active,Corporate
Mayfresh MFB,Mayfresh MFB Aspanda,Lagos,South West,WAN,1,Active,Corporate
Mayfresh MFB,Mayfresh MFB Campbell/Jibowu,Lagos,South West,WAN,1,Active,Corporate
Mayfresh MFB,Mayfresh MFB PH,Rivers,South South,WAN,1,Active,Corporate
Mayfresh MFB HQ,Mayfresh MFB HQ Garki Abuja,Abuja,North Central,INTERNET,6,Active,Corporate
Mayfresh MFB HQ,Mayfresh MFB HQ Garki Abuja,Abuja,North Central,WAN,30,Active,Corporate
Mayfresh Mortgage Bank,Mayfresh MFB Enugu,Enugu,South East,WAN,1,Active,Corporate
